@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
301,'2023/06/13 10:16:25:322',3,691.940674,795.487183,691.940674,795.487183,1,0,0,0,0
302,'2023/06/13 10:16:25:348',3,0,0,0,0,0.7,0,0,0,0
303,'2023/06/13 10:16:25:366',3,0,0,0,0,0.33,0,0,0,0
304,'2023/06/13 10:16:25:391',3,462.649445,855.418823,462.649445,855.418823,0.01,0,0,0,0
305,'2023/06/13 10:16:25:417',3,662.672424,698.829712,662.672424,698.829712,0,0,0,0,0
306,'2023/06/13 10:16:25:437',3,664.918701,920.201843,664.918701,920.201843,0,0,0,0,0
307,'2023/06/13 10:16:25:465',3,0,0,353.954529,903.908569,0,0,0,0,0
308,'2023/06/13 10:16:25:482',3,0,0,0,0,0,0,0,0,0
309,'2023/06/13 10:16:25:507',3,814.691345,1119.526733,814.691345,1119.526733,0,0,0,0,0
310,'2023/06/13 10:16:25:533',3,0,0,0,0,0,0,0,0,0
311,'2023/06/13 10:16:25:551',3,0,0,0,0,0,0,0,0,0
312,'2023/06/13 10:16:25:576',3,0,0,0,0,0,0,0,0,0
313,'2023/06/13 10:16:25:602',3,0,0,0,0,0,0,0,0,0
314,'2023/06/13 10:16:25:622',3,0,0,0,0,0,0,0,0,0
315,'2023/06/13 10:16:25:648',3,0,0,0,0,0,0,0,0,0
316,'2023/06/13 10:16:25:668',3,0,0,0,0,0,0,0,0,0
